locationId,productId,EPC,rssi,minrssi,maxssi,count,queue,rxpower,session,starttimestamp,endtimestamp,expectedLocation
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.536757,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.539812,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.543055,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.554337,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.558709,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.562305,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.574521,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.579026,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.582475,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.594452,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.598827,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.602362,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.614135,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.617884,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.621530,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.634504,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.638695,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.642310,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.654684,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.658838,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.662385,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.674362,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.678706,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.682151,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.694811,L0
0,303A0,P382,-84.89894563718772,-91,-45,1,4,30,0,2023-06-15 15:12:18.005476,2023-06-15 15:12:23.699014,L0
