locationId,productId,EPC,rssi,minrssi,maxrssi,count,queue,rxpower,session,starttimestamp,endtimestamp,isLocation,expectedLocation
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.495533,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.501006,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.507078,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.513035,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.519122,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.525196,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.531161,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.537079,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.544269,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.550313,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.556338,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.564599,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.570990,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.577145,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.584603,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.590771,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.597063,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.604414,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.610779,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.616860,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.624272,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.630522,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.636681,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.644639,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.651191,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.657460,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.664297,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.670846,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.676784,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.684427,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.690684,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.696968,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.704477,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.710688,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.716584,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.724710,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.730960,False,L0
0,P0,303A0,-83.3129374437701,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.736984,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.749280,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.754938,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.761055,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.767203,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.773139,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.779480,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.785942,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.792002,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.797999,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.804421,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.810663,False,L0
0,P0,303A0,-82.51356099725393,-91,-45,1,4,30,0,2023-08-11 13:08:53.835105,2023-08-11 13:08:59.824908,False,L0
